Date,AMZN,GOOGL,AAPL,NFLX,MSFT
,AMZN,GOOGL,AAPL,NFLX,MSFT
2022-12-12,90.55000305175781,93.30999755859375,144.49000549316406,315.17999267578125,252.50999450683594
2022-12-13,92.48999786376953,95.62999725341797,145.47000122070312,320.3399963378906,256.9200134277344
2022-12-14,91.58000183105469,95.06999969482422,143.2100067138672,317.8299865722656,257.2200012207031
2022-12-15,88.44999694824219,90.86000061035156,136.5,290.4100036621094,249.00999450683594
2022-12-16,87.86000061035156,90.26000213623047,134.50999450683594,290.7099914550781,244.69000244140625
2022-12-19,84.91999816894531,88.44000244140625,132.3699951171875,288.29998779296875,240.4499969482422
2022-12-20,85.19000244140625,89.0199966430664,132.3000030517578,288.19000244140625,241.8000030517578
2022-12-21,86.7699966430664,89.58000183105469,135.4499969482422,297.9599914550781,244.42999267578125
2022-12-22,83.79000091552734,87.76000213623047,132.22999572753906,297.75,238.19000244140625
2022-12-23,85.25,89.2300033569336,131.86000061035156,294.9599914550781,238.72999572753906
2022-12-27,83.04000091552734,87.38999938964844,130.02999877929688,284.1700134277344,236.9600067138672
2022-12-28,81.81999969482422,86.0199966430664,126.04000091552734,276.8800048828125,234.52999877929688
2022-12-29,84.18000030517578,88.44999694824219,129.61000061035156,291.1199951171875,241.00999450683594
2022-12-30,84.0,88.2300033569336,129.92999267578125,294.8800048828125,239.82000732421875
2023-01-03,85.81999969482422,89.12000274658203,125.06999969482422,294.95001220703125,239.5800018310547
2023-01-04,85.13999938964844,88.08000183105469,126.36000061035156,309.4100036621094,229.10000610351562
2023-01-05,83.12000274658203,86.19999694824219,125.0199966430664,309.70001220703125,222.30999755859375
2023-01-06,86.08000183105469,87.33999633789062,129.6199951171875,315.54998779296875,224.92999267578125
2023-01-09,87.36000061035156,88.0199966430664,130.14999389648438,315.1700134277344,227.1199951171875
2023-01-10,89.87000274658203,88.41999816894531,130.72999572753906,327.5400085449219,228.85000610351562
2023-01-11,95.08999633789062,91.5199966430664,133.49000549316406,327.260009765625,235.77000427246094
2023-01-12,95.2699966430664,91.12999725341797,133.41000366210938,330.1300048828125,238.50999450683594
2023-01-13,98.12000274658203,92.12000274658203,134.75999450683594,332.82000732421875,239.22999572753906
2023-01-17,96.05000305175781,91.29000091552734,135.94000244140625,326.2200012207031,240.35000610351562
2023-01-18,95.45999908447266,91.12000274658203,135.2100067138672,326.3299865722656,235.80999755859375
2023-01-19,93.68000030517578,93.05000305175781,135.27000427246094,315.7799987792969,231.92999267578125
2023-01-20,97.25,98.0199966430664,137.8699951171875,342.5,240.22000122070312
2023-01-23,97.5199966430664,99.79000091552734,141.11000061035156,357.4200134277344,242.5800018310547
2023-01-24,96.31999969482422,97.69999694824219,142.52999877929688,363.8299865722656,242.0399932861328
2023-01-25,97.18000030517578,95.22000122070312,141.86000061035156,367.9599914550781,240.61000061035156
2023-01-26,99.22000122070312,97.5199966430664,143.9600067138672,364.8699951171875,248.0
2023-01-27,102.23999786376953,99.37000274658203,145.92999267578125,360.7699890136719,248.16000366210938
2023-01-30,100.55000305175781,96.94000244140625,143.0,353.1099853515625,242.7100067138672
2023-01-31,103.12999725341797,98.83999633789062,144.2899932861328,353.8599853515625,247.80999755859375
2023-02-01,105.1500015258789,100.43000030517578,145.42999267578125,361.989990234375,252.75
2023-02-02,112.91000366210938,107.73999786376953,150.82000732421875,366.8900146484375,264.6000061035156
2023-02-03,103.38999938964844,104.77999877929688,154.5,365.8999938964844,258.3500061035156
2023-02-06,102.18000030517578,102.9000015258789,151.72999572753906,361.4800109863281,256.7699890136719
2023-02-07,102.11000061035156,107.63999938964844,154.64999389648438,362.95001220703125,267.55999755859375
